episode,timestep,reward
74,2000,26.9054
152,4000,25.4359
208,6000,36.0179
269,8000,32.4426
303,10000,58.6176
337,12000,58.7647
358,14000,96.5238
375,16000,117.5294
388,18000,141.9231
402,20000,148.6429
413,22000,169.1818
423,24000,209.8
431,26000,240.25
439,28000,263.75
443,30000,464.0
449,32000,328.0
455,34000,349.3333
461,36000,352.3333
465,38000,500.0
469,40000,495.5
473,42000,460.25
477,44000,500.0
481,46000,500.0
485,48000,500.0
489,50000,483.75
494,52000,431.8
498,54000,500.0
502,56000,492.5
506,58000,455.75
510,60000,479.75
515,62000,458.0
519,64000,470.5
